ID;Название;Тип постройки;Дата основания;Архитектор;Статус;Современный адрес;Краткое описание;Посвящение;lat;lon
29513;Успенская Макарьевская мужская пустынь;монастырь;сер. XVI в.;нет данных;действ.;Ленинградская обл., Тосненский р-н, ур. Макарьевская пустынь;"Монастырь основан в сер. XVI в. преподобным Макарием Римлянином. Разорен шведами в 1615, упразднен во время реформы 1764, возобновлен в 1894 как миссионерский Воскресенский мужской монастырь. Закрыт в 1932, здания использованы под нужды ""Свирьлага"", постройки разрушены в годы войны. Восстанавливается с 2005 как Успенская Макарьевская мужская пустынь.";;59.509093;31.387622
29515;Церковь Макария Римлянина в Успенской Макарьевской пустыни;церковь;2004;нет данных;действ.;Ленинградская обл., Тосненский р-н, ур. Макарьевская пустынь;Деревянная однопрестольная церковь построена в 2005. Четверик обшитый тёсом, под двухскатной крышей с главой, с алтарным прирубом и трёхсторонней галереей на столбах. Освящена 11 окт. 2005.;Макария Римлянина;59.509307;31.387881
29518;Часовня в Успенской Макарьевской пустыни;часовня;кон. 2010-х;нет данных;действ.;Ленинградская обл., Тосненский р-н, ур. Макарьевская пустынь;Кубическая часовня под четырёхгранным шатром с главой, с притвором, построена в кон. 2010-х.;;59.509096;31.387484
29516;Церковь Всех Преподобных Отец у Успенской Макарьевской пустыни;церковь;1761;нет данных;сохр.;Ленинградская обл., Тосненский р-н, 3 км СЗ ур. Макарьевская пустынь;Певая часовня в месте уединения Макария Римлянина устроена в 1761 у колодца, вырытого прп. Макарием. Неоднократно перестраивалась, в 1900-1901 расширена до небольшой деревянной церкви, затем в 1914-1916 выполнена в камне на высоком цоколе. В настоящее время сохранилась в руинированном состоянии у возобновляемого колодца.;Всех Преподобных Отец;59.532009;31.359654
20256;Церковь Николая Чудотворца на Щегловском кладбище;церковь;2000-е;нет данных;действ.;Ленинградская обл., Всеволожский р-н, д. Малая Романовка;Деревянная часовня на кладбище, сооруженная в 2000-х. В 2013 расширена с сооружением звонницы, превращена в церковь. Приписана к церкви иконы Божией Матери Нечаянная Радость в Щеглово.;Николая Чудотворца;60.034773;30.727961
19779;Церковь Иоанна Воина в Малом Верево;церковь;2011;нет данных;действ.;Ленинградская обл., Гатчинский р-н, д. Малое Верево;Небольшая деревянная церковь-часовня простой архитектуры, поставленная в 2011-2012 как временная. Освящена 25.03.2012. Предполагается постройка обширного каменного храма.;Иоанна Воина;59.610041;30.1688
20140;Часовня Алексия, человека Божия, в Малом Карлино;часовня;2006;нет данных;действ.;Ленинградская обл., Ломоносовский р-н, пос. Малое Карлино;Деревянная часовня, сооруженная в 2006-2007 попечением М. А. Прошкиной в память жертв авиакатострофы 22.08.2006 под Донецком. Четверик под четырехскатной кровлей с главкой.;Алексия, человека Божия;59.722825;30.267726
28767;Часовня Александра Свирского в Мандерах;часовня;2006;нет данных;действ.;Ленинградская обл., Лодейнопольский р-н, ур. Мандеры;Деревянная часовня, уменьшенная копия деревянного храма Георгия Победоносца в с. Юксовичи, построенного в 1493. Заложена 21 сент. 2006 по инициативе и проекту насельниц Оятского Введенского монастыря. Начатое строительство в 2007 застопорилось, и было возобновлено в 2013, в целом завершено в 2016. Планируется создание монастырского скита.;Александра Свирского;60.462574;33.133406
19850;Часовня Георгия Победоносца в Мануйлово;часовня;;нет данных;действ.;Ленинградская обл., Кингисеппский р-н, д. Мануйлово;Деревянная часовня в дальней деревне опольского прихода. Четверик, обшитый тесом, перекрытый четырёхскатной кровлей с главкой. Отремонтирована, поддерживается в порядке, приписана к храму в Ивановском.;Георгия Победоносца;59.375777;28.857203
30245;Часовня Иконы Божией Матери Тихвинская в Мартемьяновской;часовня;;нет данных;действ.;Ленинградская обл., Подпорожский р-н, д. Шондовичи, д. Мартемьяновская;;Иконы Божией Матери Тихвинская;60.462047;34.857636
16568;Церковь Николая Чудотворца в Мге (новая);церковь;1997;нет данных;действ.;Ленинградская обл., Кировский р-н, пос. Мга, ул. Железнодорожная, 46;Церковь устроена в 1997 в приспособленном одноэтажном административном здании, надстроенном главкой и звонницей.;Николая Чудотворца;59.755871;31.063636
