ID;Название;Тип постройки;Дата основания;Архитектор;Статус;Современный адрес;Краткое описание;Посвящение;lat;lon
32052;Часовня Георгия Победоносца на мемориале Партизанская Слава;часовня;2016;2016: Бухаев В. Б.;действ.;"Ленинградская обл., Лужский р-н, 139-й км автодороги Р-23 ""Псков""";"Кирпичная входная часовня построена на мемориале ""Партизанская Слава"" в 2016 на средства семьи благотворителя О. С. Коваля. Четверик с шатровым завершением увенчан главкой. Освящена 14 сент. 2016.";Георгия Победоносца;58.788111;29.882255
28766;"Часовня Александра Свирского на 254-м км автодороги Р-21 ""Кола""";часовня;2006;нет данных;действ.;"Ленинградская обл., Лодейнопольский р-н, 254-й км автодороги Р-21 ""Кола""";"Высокий часовенный столп, воздвигнутый на автотрассе Е-105 (Р-21) ""Кола"" в год 500-летия Александро-Свирского монастыря.";Александра Свирского;60.81608;33.33552
20654;Церковь Бориса и Глеба в Агалатово;церковь;1999;1999-2001: Кожин Д. Ю.;действ.;Ленинградская обл., Всеволожский р-н, пос. Агалатово;Деревянная церковь в поселке у военного городка, сооруженная в 1999-2001. Четверик, увенчанный крестчатой бочкой с главкой, с пониженными боковыми прирубами, алтарем и трапезной, также покрытыми бочками, с небольшой звонницей над крыльцом.;Бориса и Глеба;60.214262;30.30075
17492;Скит Андрея Первозванного на Агафоновом Лугу;монастырь;1998;: Зайцев А. П. (монастырский корпус(корпуса));действ.;Ленинградская обл., Всеволожский р-н, Колтушская вол., вблизи д. Коркино, массив Генетика на Агафоновом лугу;Скит Александро-Невской лавры, строящийся с 1998 в урочище, у издавна почитаемого валуна, по инициативе В. М. Елгина (в иночестве - монаха Серафима), в 1990-х зарегистрировавшего тут фермерское хозяйство. Сооружены два деревянных храма, келейные корпуса, колокольня (2005). Имеются планы строительства каменного собора. Братия немногочисленна.;;59.938585;30.76733
17494;Церковь Евгении Мученицы в скиту Андрея Первозванного;церковь;2011;2011: Зайцев А. П.;действ.;Ленинградская обл., Всеволожский р-н, Колтушская вол., вблизи д. Коркино, массив Генетика на Агафоновом лугу;Небольшая деревянная церковь, построенная в 2011 на средства И. Н. Бусырёва. Четверик, завершенный низким шатром, с врезанной в него крестчатой бочкой, с одновсходным крыльцом.;Андрея Первозванного;59.938741;30.767292
17493;Церковь Зосимы и Савватия Соловецких в скиту Андрея Первозванного;церковь;1999;;действ.;Ленинградская обл., Всеволожский р-н, Колтушская вол., вблизи д. Коркино, массив Генетика на Агафоновом лугу;Небольшая деревянная церковь, построенная в 1999-2003 попечением В. М. Елгина. Четверик, окруженный открытыми галереями, завершенный четырехскатным шатром с врезанными в него щипцами.;"Андрея Первозванного; Зосимы и Савватия Соловецких";59.938735;30.768387
25539;Церковь Василия Великого в Акуловой Горе;церковь;1998;;действ.;Ленинградская обл., Лодейнопольский р-н, д. Акулова Гора;Деревянная одноглавая однопрестольная церковь в духе северного зодчества, клеть под двускатной крышей, с апсидой, с шатровой звонницей над западной частью клети. Крыльцо - с юга. Построена петербургскими художниками Юрием и Ириной Грецкими в 1998-2000. Ими же храм расписан.;Василия Великого;60.487972;33.550983
19274;Часовня Алексия Цесаревича в Алакюля;часовня;;нет данных;действ.;Ленинградская обл., Ломоносовский р-н, д. Алакюля, ул. Родниковая, д. 1;Небольшая деревянная входная часовня. Неравногранный восьмерик, завершённый шатром с крестом. Построена ок. 2000.;Алексия Цесаревича;59.739035;29.92788
8680;Церковь Александра Невского в Александровке;церковь;1790;;действ.;Ленинградская обл., Гатчинский р-н, д. Александровка;Кирпичная церковь построена в 1790-1794 по проекту И. Е. Старова на средства А. Г. Демидова. Капитально перестроена в 1901-1906 архитектором А. А. Степановым в псевдорусском стиле - устроено пятиглавие, колокольня с шатровым верхом. Закрыта в 1936. После войны использовалась под склад ГСМ, в 1950 перенесла пожар, позже разрушены венчания. С сер. 1990-х в дни престольных праздников в церкви совершаются молебны. В 2007 зарегистрирован самостоятельный приход, в колокольне устроена временная церковь, освященная 10 мент. 2011, где по расписанию проводятся молебны.;Александра Невского;59.674203;30.131472
28686;Церковь Михаила Архангела в Гедевичах;церковь;не позже XVI в.;нет данных;действ.;Ленинградская обл., Лодейнопольский р-н, с. Алёховщина, ул. Сторожовская, 7А;Небольшая деревянная церковь, выстроенная в 1730. К квадратному в плане основному объёму, завершённому двумя убывающими глухими восьмериками с главкой, примыкают гранёная апсида и трапезная, соединяющая его с двухъярусной шатровой колокольней, к которой с запада пристроен входной тамбур. Церковь перестала действовать в 1937, внутреннее оформление утрачено. Открыта для богослужений в 1990, за несколько лет восстановлена.;Михаила Архангела;60.413432;33.851938
21361;Церковь Троицы Живоначальной в Марьино;церковь;1788;;сохр.;Ленинградская обл., Тосненский р-н, д. Андрианово;Кирпичная усадебная церковь в стиле неоготики, построенная в 1831 на средства помещицы графини С. В. Строгановой. Прямоугольная в плане постройка, с колокольней над притвором и восьмигранным куполом над центральным объемом, окруженными шпилями. Закрыта в 1936. В настоящее время заброшена, своды основного объема рухнули.;Троицы Живоначальной;59.418388;30.899155
20139;Церковь Иоанна Богослова в Аннино;церковь;1997;нет данных;действ.;Ленинградская обл., Ломоносовский р-н, пос. Аннино, ул. Садовая, 4А;Церковь устроена в переданном общине кирпичном одноэтажном здании, изначально бывшем детским садом. Перестройка начата в 1997, малое освящение совершено в 2003. Пострадала от пожара в 2008, восстановлена в 2009. Был надстроен световой четверик с четырёхскатным покрытием, пристроена невысокая колокольня с широким шатровым завершением.;Иоанна Богослова;59.773548;30.047927
21837;Церковь Александра Невского в Апраксине;церковь;2013;;действ.;Ленинградская обл., Кировский р-н, пос. Апраксин;"Кирпичная церковь, сооруженная в 2013-2014 при поддержке ОАО ""Газпром"" и освященная 25.10.2014. Сооружена в духе образцовых проектов русско-византийского стиля. Восьмигранный основной объем увенчан малым восьмериком с шатровым куполом, к нему примыкают полукруглый алтарь и притвор.";Александра Невского;59.774279;31.211882
23494;Церковь Покрова Пресвятой Богородицы в Бабино;церковь;не позже XVI в.;нет данных;сохр.;Ленинградская обл., Волховский р-н, д. Бабино;Кирпичная церковь, судя по архитектуре, относящаяся к 1-й пол. XVIII в., по преданию, построенная помещиком Д. Г. Муравьевым. Здание типа восьмерик на четверике с полукруглой апсидой, северным Никольским приделом и асимметрично поставленной невысокой шатровой колокольней у юго-западного угла. Закрыта официально в 1941. Долгие годы пустовала, в аварийном состоянии, в нач. 2010-х предпринята попытка консервации.;"Покрова Пресвятой Богородицы; Николая Чудотворца";60.026341;32.337291
26780;Церковь Успения Пресвятой Богородицы в Барышево;церковь;2014;нет данных;действ.;Ленинградская обл., Выборский р-н, пос. Барышево, ул. Центральная, 18;Каменная пятиглавая однопрестольная церковь в духе барокко - восьмерик на четырёхлепестковом основании, с ярусом звонницы над западным притвором. Заложена 16 сент. 2014, освящена 14 янв. 2016.;Успения Пресвятой Богородицы;60.690256;29.593242
17208;Церковь Михаила Архангела в Бегуницах;церковь;1736;1892-1894: Фиделли В. И. (колокольня);действ.;Ленинградская обл., Волосовский р-н, д. Бегуницы;Небольшая каменная церковь, построенная в 1800-1813 помещиком А. И. Рамбург. Прямоугольная в плане постройка с пятигранным алтарем. Второй престол Александро-Невский. Перестроена в 1870-х, колокольня пристроена в 1892-1894. Закрыта в 1930-х, венчания сломаны, сильно перестроена. В 1996 возвращена верующим, медленно ремонтируется.;"Михаила Архангела; Александра Невского";59.585408;29.321427
17261;Церковь Николая Чудотворца в Белогорке;церковь;1904;1904-1906: Овсянников С. И.;действ.;Ленинградская обл., Гатчинский р-н, д. Белогорка, ул. Институтская, 2;Кирпичная церковь, построенная в 1904-1906 как домовая в усадьбе Е. А. Фоминой при помощи купца Е. А. Елисеева. Базиликальная постройка с богатым декором в псевдорусском стиле, с прямоугольной звонницей над западной частью и главкой над восточной. Закрыта в 1939, венчания сломаны, использовалась как дом культуры. Возвращена верующим в 1993, реставрируется.;Николая Чудотворца;59.34983;30.134602
20082;Часовня Всех Святых Русских в Беседе;часовня;не позже нач. ХХ в.;нет данных;действ.;Ленинградская обл., Волосовский р-н, пос. Беседа;Кирпичный одноглавый часовенный столб, сооружённый усилиями А. А. Дмитриева на Святой горке, рядом со старинными крестами, на месте старого часовенного столба, разобранного в 1960-х. Освящён 17 дек. 2008.;Всех Святых Русских;59.359936;28.973672
33434;Церковь Покрова Пресвятой Богородицы в Бокситогорске;церковь;1996;2002-2007: Семенов П. И.;действ.;Ленинградская обл., Бокситогорский р-н, г. Бокситогорск, ул. Спортивная;Православнай приход создан в 1996, богослужения проводились в бывшем здании детского сада. Деревянная однопрестольная церковь построена в 2002-2007 по проекту арх. П. И. Семёнова. Освящена 31 марта 2007. Благоустройство храма продолжалось до 2010. Выстроен бревенчатый четверик под двухскатной крышей с двухъярусным куполом с главой на восьмерике, с прирубом граненого алтаря, завершенного бочкой, с колокольней над притвором.;Покрова Пресвятой Богородицы;59.468422;33.844414
33435;Часовня Антония Дымского в Бокситогорске;часовня;2024;нет данных;действ.;Ленинградская обл., Бокситогорский р-н, г. Бокситогорск, ул. Комсомольская, 22А;Часовня в каменном здании пекарни Антониево-Дымского монастыря устроена в 2024. Внешне не выделена. Приписана к монастырю.;Антония Дымского;59.476624;33.844212
20017;Церковь Успения Пресвятой Богородицы в Большой Вруде;церковь;1726;;действ.;Ленинградская обл., Волосовский р-н, д. Большая Вруда;Небольшая каменная однокупольная церковь в стиле классицизма, сооруженная в 1823-1840 при помощи графа В. Ф. Адлерберга. Двухъярусная колокольня пристроена в 1852, тогда же венчания переделаны в русско-византийском стиле. Закрыта в 1938, в годы войны вновь открыта и снова закрыта в 1961. В 2000-х возвращена верующим, венчания восстановлены в формах классицизма.;Успения Пресвятой Богородицы;59.403129;29.248898
16905;Церковь Всех Святых в Большой Ижоре;церковь;2006;нет данных;действ.;Ленинградская обл., Ломоносовский р-н, пос. Большая Ижора;Кирпичная церковь простой архитектуры, построенная в 2006-2008 на поселковом кладбище, около братской могилы. Одноглавый четверик с пощипцовыми завершениями фасадов, с алтарем и притвором. Службы поочередно с Никольским храмом.;Всех Святых;59.942899;29.566512
16906;Церковь Николая Чудотворца в Большой Ижоре;церковь;1868;;действ.;Ленинградская обл., Ломоносовский р-н, пос. Большая Ижора, ул. Октябрьская, 3А;Деревянная однопрестольная церковь построена в 1876-1877. Эклектичная постройка, завершавшаяся четырехскатным шатром, с шатровой колокольней. Закрыта в 1932, в 1939 разобрана. Община воссоздана в 2003, службы шли во временном помещении. В 2008 принято решение о воссоздании храма на старом месте. Выстроена деревянная однопрестольная церковь, четверик под двухскатной крышей (скаты в направлении запад-восток), с прямоугольной апсидой и массивной двухъярусной шатровой колокольней в связи. Освящена 16 июля 2022. Службы в летнее время.;Николая Чудотворца;;
18948;Церковь Сергия Радонежского в Большой Ящере;церковь;1871;1871-1872: Карпов Г. И.;сохр.;Ленинградская обл., Лужский р-н, д. Большая Ящера;Кирпичный храм в формах эклектики с шатровыми куполом и колокольней, сооруженный в 1871-1872 на средства И. П. Лесникова. Закрыт в 1930-х. Пустует, купол и колокольня сломаны, своды рухнули.;Сергия Радонежского;59.159314;29.91568
17501;Часовня Иконы Божией Матери Казанская в Большево;часовня;;нет данных;действ.;Ленинградская обл., Гатчинский р-н, д. Большево;"Деревянная часовня, обшитая тесом, построенная в память 17.10.1888. Пример ""ропетовской"" архитектуры, одноглавый четверик с звонницей над притвором. Была приписана к церкви в Орлино. В 1990-х отремонтирована.";Иконы Божией Матери Казанская;59.32793;30.03907
21022;Церковь Иконы Божией Матери Казанская в Больших Полях;церковь;1954;нет данных;действ.;Ленинградская обл., Сланцевский р-н, д. Большие Поля;Деревянная церковь, первоначально построенная в 1898 в селе Низы. Одноглавый четверик под двускатной кровлей с трапезной и пятигранным алтарем, обшитый тесом. В 1954 в связи с затоплением Низов перевезена в Большие Поля, с момента перевозки не закрывалась.;Иконы Божией Матери Казанская;59.15547;28.077289
19329;Часовня Иконы Божией Матери Почаевская в Большом Заречье;часовня;;нет данных;сохр.;Ленинградская обл., Волосовский р-н, ур. Большое Заречье (2 км В д. Глумицы);Небольшая деревянная четверогранная часовня под низкой восьмискатной кровлей, строящаяся на сельском кладбище.;Иконы Божией Матери Почаевская;59.38332;29.78089
19713;Церковь Николая Чудотворца в Большом Кузёмкино;церковь;1995;нет данных;действ.;Ленинградская обл., Кингисеппский р-н, д. Большое Куземкино;Небольшая деревянная церковь простой архитектуры, построенная в 1995-2000.;Николая Чудотворца;59.583004;28.182099
17486;Церковь Николая Чудотворца и Арсения Коневского в Большом Стремление;церковь;1913;нет данных;сохр.;Ленинградская обл., Кингисеппский р-н, д. Большое Стремление;Небольшая деревянная церковь, обшитая тесом, сооружённая в 1913 путем реконструкции прежде бывшей часовни в дальней деревне сойкинского прихода. Прямоугольная постройка под двускатной кровлей с главкой с небольшими алтарём и притвором. Закрыта в 1940, пустует.;"Николая Чудотворца; Арсения Коневского";59.746006;28.665643
20776;Церковь Иконы Божией Матери Умиление в Борисовой Гриве;церковь;2004;нет данных;действ.;Ленинградская обл., Всеволожский р-н, д. Борисова Грива, Ириновское ш., д. 43А;Крупная кирпичная часовня простой архитектуры, освящённая в 2004. Четверик с пятигранной апсидой, завершённый низким деревянным барабаном с шатровой кровлей. С кон. 2000-х проводятся литургии.;Иконы Божией Матери Умиление;60.095117;30.97321
24756;Часовня Серафима Саровского в Борисово;часовня;нач. 2000-х;нет данных;действ.;Ленинградская обл., Приозерский р-н, д. Борисово;Небольшая деревянная часовня, сооружённая в нач. 2000-х. Квадратный в плане сруб, завершённый шатром, с притвором и алтарным прирубом. Приписана к церкви в Раздолье.;Серафима Саровского;60.601539;30.017913
20855;Церковь Иконы Божией Матери Августовская в Буграх;церковь;2009;нет данных;действ.;Ленинградская обл., Всеволожский р-н, пос. Бугры, ул. Шоссейная, 2;Деревянная церковь простой архитектуры, сооружённая в 2009-2010 в поселке при военной части. Обшитая вагонкой прямоугольная постройка с небольшой луковичной главкой.;Иконы Божией Матери Августовская;60.067529;30.39152
15171;Церковь Успения Пресвятой Богородицы в Будогоще;церковь;2008;нет данных;действ.;Ленинградская обл., Киришский  р-н, пос. Будогощь;;Успения Пресвятой Богородицы;59.285427;32.448281
20736;"Церковь Покрова Пресвятой Богородицы в КП ""Гатчинские поместья""";церковь;2012;нет данных;действ.;"Ленинградская обл., Гатчинский р-н, д. Вайя, КП ""Гатчинские поместья""";"Небольшая церковь из пеноблоков, сооружаемая компанией ""ИБС Дивелэпэс"" в коттеджном поселке ""Гатчинские поместья"". Восьмерик, завершенный шатром с главкой, с прямоугольными алтарем и притвором. Заложена в 2012, достраивается. Приписана к храму Иоанна Воина в Малом Верево.";Покрова Пресвятой Богородицы;59.599419;30.161926
20016;Часовня в Ванакюля;часовня;2000-е;нет данных;действ.;Ленинградская обл., Кингисеппский р-н, д. Ванакюля;Небольшая деревянная одноглавая часовня с открытым крыльцом, сооруженная в 2000-х.;;59.514229;28.185994
3820;Церковь Веры, Надежды, Любови и Софии в Вартемягах;церковь;;;действ.;Ленинградская обл., Всеволожский р-н, пос. Вартемяги;Каменная церковь в стиле классицизма. Первоначальное здание построено по проекту арх. Д. И. Висконти в 1825-1840. В 1870 расширена по проекту арх. А. И. Монигетти. В 1930-х закрыта и использовалась как клуб. В 1990-х возвращена верующим. Вновь освящена 26 июля 2022.;Веры, Надежды, Любови и Софии;60.172986;30.336518
7620;Церковь Андрея Первозванного на Вуоксе;церковь;;1999-2000: Ротинов А. Н. – строительство по собств. проекту;действ.;Ленинградская обл., Приозерский р-н, пос. Васильево;Небольшая деревянная шатровая церковь, восьмерик от земли, построена по проекту архитектора А. Н. Ротинова. Приписана к Коневской церкви в пос. Саперное.;Андрея Первозванного;60.876961;29.825059
30250;Часовня Владимира равноапостольного в Васильевской;часовня;нач. 1970-х;нет данных;действ.;Ленинградская обл., Подпорожский р-н, д. Васильевская;Деревянная часовня выстроена в 2005 вместо молитвенного дома (обустроенного в старом амбаре в нач. 1970-х) на средства В. А. Кипрушкина и А. Е. Финченко. Одноглавая прямоугольная в плане часовня под двухскатной кровлей на столбах.;Владимира равноапостольного;60.407688;35.064342
24749;Часовня Троицы Живоначальной в Васкелово;часовня;2013;нет данных;действ.;Ленинградская обл., Всеволожский р-н, д. Васкелово, ул. Коробицына;Восьмигранная в плане часовня под низкой шатровой кровлей. Первая постройка комплекса предполагаемой церкви, сооружённая в 2013 из ДВП-плит на каркасе.;Троицы Живоначальной;60.371244;30.349992
17178;Церковь Введения Пресвятой Богородицы во Храм в Введенском;церковь;1845;нет данных;действ.;Ленинградская обл., Гатчинский р-н, д. Введенское;Деревянная церковь, обшитая тесом, была построена в 1845. Представляла собой здание под двускатной кровлей с двухъярусно шатровой колокольней. Закрыта в 1941, к 1990-м заброшена, в 1994 сгорела. В 2006-2007 на ее месте выстроен новый небольшой храм с шатровым завершением. Опекается клиром Петропавловской церкви в Вырице.;Введения Пресвятой Богородицы во Храм;59.372456;30.442944
23545;Церковь Николая Чудотворца в Вероле;церковь;ок. 1750;1828-1838: Висконти Д. И.;сохр.;Ленинградская обл., Кировский р-н, д. Верола;Небольшая кирпичная церковь стиля ампир, построенная в 1828-1838 на средства коменданта Петропавловской крепости генерал-лейтенанта М. К. Крыжановского. Ротондальный храм, в прошлом перекрытый куполом, с симметричными притвором и алтарем, над притвором поставлена звонница. Закрыта в кон. 1930-х. Пустует, постепенно разрушается, купол обрушился.;Николая Чудотворца;60.027662;31.725849
15153;Церковь Иконы Божией Матери Владимирская в Верхних Кумёнах;церковь;1710-е;нет данных;сохр.;Кировская обл., Куменский р-н, с. Верхкумены (нежил.);Каменная двухпрестольная церковь с колокольней (1783), построена на средства прихожан вместо прежней деревянной, пришедшей в ветхость. В 1776 освящен тёплый Предтеченский придел.;"Иконы Божией Матери Владимирская; Иоанна Предтечи";58.0;49.828856
29987;Церковь Василия Великого в Винницах;церковь;1866;нет данных;сохр.;Ленинградская обл., Подпорожский р-н, с. Винницы, ул. Советская, 35;"Деревянная на каменном фундаменте обшитая тёсом церковь заложена в 1867, единственный престол освящён 7 марта 1871. В 1873 добавились приделы Димитрия Солунского (правый; устроен на средства купца Д. Шлыкова, освящён 17 марта) и Николая Чудотворца (левый; на средства купца Е. О. Афонькина, освящён 18 марта). Прямоугольное в плане пятиглавое здание имело оригинальную расстановку четырёх малых глав по диагоналям восьмискатной кровли, ещё одна главка была над алтарём. Закрыта в 1935, лишилась венчаний. Приход восстановлен в 1991, но храм пока не отреставрирован.";"Василия Великого; Николая Чудотворца; Димитрия Солунского";60.628074;34.781742
15321;Церковь Иконы Божией Матери Смоленская в Винницах;церковь;нач. 2000-х;нет данных;действ.;Ленинградская обл., Подпорожский р-н, с. Винницы, ул. Советская, 35А;Небольшая деревянная церковь, завершённая клетской кровлей с каскадным покрытием. Построена в сер. 2000-х в связи с невозможностью быстрого ремонта старого храма.;Иконы Божией Матери Смоленская;60.627841;34.782246
29986;Церковь Рождества Пресвятой Богородицы в Винницах;церковь;не позже XV в.;нет данных;сохр.;Ленинградская обл., Подпорожский р-н, с. Винницы, ул. Советская, 35Б;Холодная деревянная на каменном фундаменте церковь, построенная в 1791 и перестроенная в 1881 на средства И. И. Корнышева. Основной объём обшитого тёсом здания представлял собой четверик с поставленными на него двумя убывающими восьмериками, завершёнными главкой. К западной стороне трапезной примыкала высокая трёхъярусная восьмигранная колокольня. Имелся Ильинский придел. Закрыта в 1938, сначала лишилась колокольни, а позже и восьмериков, использовалась под склад. Сейчас состояние здания тяжёлое, планируется реставрация.;"Рождества Пресвятой Богородицы; Илии Пророка";60.627604;34.782632
10249;Часовня Серафима Саровского в Винницах;часовня;;нет данных;действ.;Ленинградская обл., Подпорожский р-н, с. Винницы;Небольшая деревянная часовня на кладбище, построенная по инициативе и силами местных жителей. На высокой двускатной крыше здания поставлена звонница под колпаком.;Серафима Саровского;60.635812;34.777919
17498;Часовня Николая Чудотворца в Витино;часовня;;нет данных;действ.;Ленинградская обл., Ломоносовский р-н, д. Витино;Кирпичная часовня, построенная в 1879 в память 04.04.1866 (спасения Александра II от покушения Каракозова) волостным старостой Г. Ершовым. Была приписана к церкви в Дятлицах. Кубическая постройка в псевдорусском стиле с шатровым завершением. В нач. 2010-х возвращена верующим, ремонтируется.;Николая Чудотворца;59.653664;29.705926
17205;Церковь Николая Чудотворца в Воейково;церковь;2003;нет данных;действ.;Ленинградская обл., Всеволожский р-н, пос. Воейково;Приход создан в 2003 в поселке при НИИ дистанционного зондирования атмосферы, опекается клиром Череменецкого монастыря. Богослужения проводятся в приспособленном деревянном здании, с 2012 строится отдельный деревянный храм с шатровым завершением.;Николая Чудотворца;59.951225;30.707844
30212;Церковь Вознесения Господня в Вознесенье (новая);церковь;;нет данных;действ.;Ленинградская обл., Подпорожский р-н, пос. Вознесенье, ул. Пионерская, 25;;Вознесения Господня;61.012257;35.479732
30213;Часовня в Вознесенье;часовня;2016;нет данных;действ.;Ленинградская обл., Подпорожский р-н, пос. Вознесенье, Свирская наб;Деревянная одноглавая часовня у пристани построена в 2016. В 2021 выполнена реконструкция, достроен алтарь, произведено утепление. Часовня приписана к Вознесенской церкви в Вознесенье.;;61.013374;35.485743
30214;Часовня Иконы Божией Матери В скорбех и печалех Утешение при Доме-интернате для престарелых и инвалидов;часовня;;нет данных;действ.;Ленинградская обл., Подпорожский р-н, пос. Вознесенье, ул. Онежской флотилии, 38;;Иконы Божией Матери В скорбех и печалех Утешение;61.01281;35.465748
18413;Церковь Иконы Божией Матери Казанская в Войскорово;церковь;2007;2007-2009: Крюковских Н. А. – строительство по собств. проекту;действ.;Ленинградская обл., Тосненский р-н, пос. Войскорово;Небольшая церковь каркасной конструкции, обшитая железом. Четверик под четырехскатной кровлей с притвором. Построена в 2007-2009 попечением художника Н. А. Крюковских.;Иконы Божией Матери Казанская;59.688886;30.56177
16957;Церковь Рождества Пресвятой Богородицы в Войтолово;церковь;2003;нет данных;действ.;Ленинградская обл., Кировский р-н, д. Войтолово;Небольшая деревянная церковь, построенная в 2003-2004 на средства благотворительницы Л. Г. Золотых. Прямоугольная постройка под двускатной кровлей с главкой и шатровой звонницей. Опекается клиром Крестовоздвиженского казачьего собора в Санкт-Петербурге.;Рождества Пресвятой Богородицы;59.71092;30.986858
19117;Церковь Ирины Великомученицы в Волгово;церковь;1809;нет данных;действ.;Ленинградская обл., Волосовский р-н, д. Волгово;Кирпичная церковь, построенная в 1809-1817 как домовый храм при усадьбе помещиком Ф. А. Голубцовым. Однокупольная постройка стиля ампир с равновеликими прямоугольными алтарем и притвором. Была приписана к храму в Клопицах, в 1909 (1906 ?) передана русско-финскому православному приходу. Закрыта в 1939. В 1990-х юридически передана верующим, активные восстановительные работы начаты в 2010.;Ирины Великомученицы;59.56022;29.595665
21033;Часовня Ирины Великомученицы (?) в Волгово;часовня;;нет данных;действ.;Ленинградская обл., Волосовский р-н, д. Волгово;"Кирпичная кубическая ""входная"" часовня, сооруженная в 1812. В годы советской власти использовалась в хозяйственных целях, позже пустовала, вновь освящена в 2004.";Ирины Великомученицы;59.561169;29.594172
20083;Церковь Иконы Божией Матери Смоленская в Волне;церковь;;нач. ХХ в.: Никонов Н. Н.;сохр.;Ленинградская обл., Волосовский р-н, д. Волна;Небольшая кирпичная церковь в псевдорусском стиле, построенная в нач. ХХ в. (по ряду сведений в 1890) в дальней деревне редкинского прихода. Одноглавый четверик с полукруглым алтарём и притвором, над стеной которого поставлена звонница. Ремонтируется с нач. 2010-х.;Иконы Божией Матери Смоленская;59.192119;29.131403
9127;Часовня Покрова Пресвятой Богородицы в Волнаволоке;часовня;;нет данных;действ.;Ленинградская обл., Подпорожский р-н, д. Волнаволок;Небольшая деревянная часовня, построена на месте сгоревших в 2004 деревянных церквей Василия Великого и Покрова Пресвятой Богородицы.;Покрова Пресвятой Богородицы;61.060962;34.480248
8677;Церковь Александра Невского в Волосово;церковь;1904;нет данных;действ.;Ленинградская обл., Волосовский р-н, г. Волосово, ул. Хрустицкого, 17;Деревянная церковь построена в 1904-1905, освящена в 1905. Представляет собой одноглавый четверик с алтарем и притвором, несложной архитектуры. С 1922 принадлежала обновленцам, не действовала с 1937. Закрыта 11.07.1938, передана под пионерский клуб. Вновь открыта осенью 1941, в период немецкой оккупации. После окончания Великой Отечественной войны не закрывалась. В нач. 1960-х областные власти планировали закрыть церковь, но верующие отстояли ее. Сохранился старинный иконостас, в настоящее время проводится ремонт здания.;Александра Невского;59.443101;29.470589
