id;name;type;foundation_date;architect;status;address;short_description;dedications;lat;lon
1923;Часовня Иконы Божией Матери Казанская в Высокопетровском монастыре;часовня;1905;нет данных;действ.;Москва, ул. Петровка, 28, стр. 3;Казанская часовня устроена в заложенном южном пролете главных монастырских ворот, под церковью Покрова, освящена 28 авг. 1905. Закрыта в нач. 1923. После возвращения монастырских зданий РПЦ, на вклад С. Г. Орлова в помещении часовни устроен одноименный храм, освящённый в 2001. Ок. 2015 иконостас из помещения убран, храм вновь переделан в часовню.;Иконы Божией Матери Казанская;55.767233;37.614542
16148;Часовня Нарышкиных в Высокопетровском монастыре;часовня;кон. XVII в.;нет данных;действ.;Москва, ул. Петровка, 28, у стр. 11;Небольшая каменная часовня с белокаменной крышей и белокаменным крестом над могилой Кирилла Полуэктовича Нарышкина (1623-1691). Стоит у южного угла Боголюбского собора. После закрытия монастыря разорена, пустовала. В настоящее время используется для поминальных служб.;;55.767322;37.614881
1901;Златоустовский мужской монастырь;монастырь;не позже нач. XV в.;;сохр.;Москва, Большой Златоустинский пер, 3, [5], 7, Малый Златоустинский пер., 5;Основан в древности приезжими купцами. Документально известен с 1412. Третьеклассный мужской монастырь, имевший к 1917 г. 4 храма. Упразднён в 1918, все церковные здания снесены в 1933, сохранился келейный корпус.;;55.759203;37.633297
1897;Иоанно-Предтеченский женский монастырь;монастырь;не позже нач. XV в.;;действ.;Москва, Малый Ивановский пер., 2;Существовал уже в нач. XV в. в Замоскворечье, на нынешнем месте известен с нач. XVI в. Упразднен после французского нашествия, церковь обращена в приходскую. Восстановлен в 1859 г., причем собор и прочие здания выстроены заново. Закрыт в 1919, но уже в 1918 часть территории занял концлагерь. Монахини окончательно выселены в 1927. С нач. 1990-х постепенно передавался РПЦ. Монастырь открыт вновь в 2000.;;55.754589;37.640001
1898;Собор Усекновения Главы Иоанна Предтечи в Иоанно-Предтеченском монастыре;церковь;не позже нач. XV в.;;действ.;Москва, Малый Ивановский пер., 2;Нынешний выстроен заново при возобновлении монастыря вместо каменного собора 1-й трети XVI в. Заложен 3 сент. 1860 г., освящен 19 окт. 1879 г. По проекту М. Д. Быковского выстроен крупный однокупольный храм эклектичных форм, главный купол повторяет формы купола флорентийского собора. Приделы Казанской Божией Матери и Николая Чудотворца. Закрыт в нач. 1927, переоборудован под архивохранилище. Окончательно перешел в пользование общины в 2001.;"Усекновения Главы Иоанна Предтечи; Николая Чудотворца; Иконы Божией Матери Казанская";55.754589;37.640000
1899;Церковь Елисаветы преподобной в Иоанно-Предтеченском монастыре;церковь;1860;;действ.;Москва, Малый Ивановский пер., 2;Церковь при больнице и кельях игуменьи. Заложена одновременно с собором 3 сент. 1860 г., освящена 4 окт. 1879 г. Закрыта в нач. 1927. Возвращена общине в нач. 1990-х.;Елисаветы преподобной;55.754542;37.640589
1900;Часовня Иоанна Предтечи в Иоанно-Предтеченском монастыре;часовня;1-я пол. XVIII в.;;действ.;Москва, Малый Ивановский пер., 2;Часовня у монастырских врат впервые упоминается в связи с пожаром 1737, при котором выгорела. Старое каменное здание сохранилось при полной перестройке монастыря арх. М. Д. Быковским в сер. XIX в., внешне выделяется аркой в ограде. После революции закрыта позже храмов обители. Вновь действует с 1991.;Иоанна Предтечи;55.754947;37.640175
1924;Никитский женский монастырь;монастырь;1582;нет данных;сохр.;Москва, ул. Большая Никитская, [7], Большой Кисловский пер., 10;Основан в 1582 боярином Никитой Романовичем около существовавшей Никитской церкви. Третьеклассный монастырь, имевший к 1917 г. три каменных храма и часовню. Все церковные здания сломаны в 1933, сохранился келейный корпус.;;55.755528;37.607669
1911;Рождественский женский монастырь;монастырь;1386;;действ.;Москва, ул. Рождественка, 20/8;Основан в 1386 (возможно, в Кремле). На нынешнем месте документально известен с 1500. Перед революцией - второклассный женский монастырь с четырьмя храмами. Упразднен в 1922, но богослужения продолжались по крайней мере до 1929. Архитектурный ансамбль отреставрирован в 1960-65. Службы в соборе возобновлены в 1989. Монашеская жизнь восстанавливается с 1993.;;55.765689;37.624492
1912;Собор Рождества Пресвятой Богородицы в Рождественском монастыре;церковь;не позже кон. XIV в.;1899: Шехтель Ф. О. – перестройка;действ.;Москва, ул. Рождественка, 20/8, стр. 14;Каменный собор возведен в 1501-05 гг. на месте более ранней белокаменной постройки во время восстановления монастыря после пожара, бывшего в 1500. Южный Никольский придел пристроен, вероятно, после пожара 1547 (позже, в 1792, престол перенесен в Златоустовскую церковь). К концу XVIII в. фасады собора были закрыты пристройками. Приделы: Сошествия Святого Духа (1814, перенесен из домовой церкви А. Ф. Салтыковой) и Димитрия Ростовского (1820). Западная часть собора в духе XVII в. выстроена арх. Ф. О. Шехтелем в нач. XX в. Четырехстолпный трехапсидный одноглавый храм. Частичная реставрация проведена в 1960-65 гг. Богослужения возобновились в 1989.;"Рождества Пресвятой Богородицы; Димитрия, митрополита Ростовского; Николая Чудотворца; Сошествия Святого Духа";55.765872;37.624469
1914;Церковь Евгения, епископа Херсонесского, в Рождественском монастыре;церковь;1835;;действ.;Москва, ул. Рождественка, 20/8, стр. 16;Колокольня в стиле московского классицизма возведена арх. Н. И. Козловским в 1835-36 гг. Храм Евгения Херсонского в колокольне устроен на средства С. И. Штерич. Закрыт вскоре после революции. Возвращен РПЦ в 1990-х.;Евгения, епископа Херсонесского;55.765867;37.623750
1915;Церковь Иконы Божией Матери Казанская в Рождественском монастыре;церковь;1904;;действ.;Москва, ул. Рождественка, 20/8, стр. 6;Обширная трапезная церковь в русско-византийском стиле. Освящена 30 авг. 1906. Арх. П. А. Виноградов. В советское время завершавшее церковь пятиглавие сломано, здание перепланировано. Отреставрирована. Освящена Патриархом Кириллом 7 нояб. 2010.;Иконы Божией Матери Казанская;55.766219;37.624608
1913;Церковь Иоанна Златоуста в Рождественском монастыре;церковь;не позже 1-й четв. XVII в.;1903: Виноградов П. А. – перестройка (трапезная);действ.;Москва, ул. Рождественка, 20/8, стр. 17;Каменная церковь построена кн. Лобановой-Ростовской в 1676-77 гг. вместо обветшавшей деревянной. Пятиглавый бесстолпный храм с глухими барабанами глав. В 1792 с юга сделана пристройка, куда из Рождественского собора перенесен придел Николая Чудотворца. В 1812 с северной стороны пристроен второй придел Филарета Милостивого. Ок. 1900 оба придела и трапезная перестроены заново. Закрыта в 1923. Из-за отсутствия средств пока не восстановлена.;Иоанна Златоуста;55.765539;37.624544
1906;Сретенский мужской монастырь;монастырь;1397;;действ.;Москва, ул. Большая Лубянка, 19;Основан в 1397 в память чудесного избавления Москвы от нашествия Тамерлана. К 1917 имел 3 храма и часовню. Закрыт в 1925, из церковных зданий сохранился только собор, вновь открытый как приходской в 1991. В 1993 при соборе устроено подворье Псково-Печерского монастыря, в 1995 преобразованное в Сретенский монастырь.;;55.765414;37.630078
22076;Собор Воскресения Христова и Новомучеников и Исповедников Российских в Сретенском монастыре;церковь;2011;;действ.;Москва, ул. Большая Лубянка, 19;"Крупный пятикупольный эклектичный храм-памятник на высоком стилобате, окружённый гульбищем, возведён по проекту мастерской Д. М. Смирнова. Работы на площадке начаты в 2013, чин великого освящения совершён патр. Кириллом 25 мая 2017. Главный престол наверху; в нижнем этаже церковь с баптистерием, посвященная Иоанну Предтече и Двенадцати апостолам.";"Воскресения Христова; Новомучеников и Исповедников Российских; Двенадцати Апостолов; Иоанна Предтечи";55.766002;37.629444
1907;Собор Сретения Иконы Божией Матери Владимирская в Сретенском монастыре;церковь;1397;;действ.;Москва, ул. Большая Лубянка, 19, стр. 1;Теперешний каменный собор поставлен на месте прежнего, освящён 24 авг. 1679. Юго-восточный придел Рождества Предтечи (1706). Квадратный в плане двухстолпный пятиглавый храм с трёхчастной апсидой, обходные галереи пристроены в 2005. Закрыт не раньше 1929. Стал действовать в 1991 как приходской, ныне - вновь монастырский собор. В 2000 устроен северный придел Марии Египетской в память утраченной монастырской церкви. Другой новый придел Воскресения Христова в крипте, в бывшей усыпальнице.;"Сретения Иконы Божией Матери Владимирская; Воскресения Христова; Марии Египетской; Рождества Иоанна Предтечи";55.765659;37.630175
21417;Часовня Иоанна Богослова в Сретенском монастыре;часовня;2013;нет данных;действ.;Москва, ул. Большая Лубянка, 19, стр. 10;Небольшая кирпичная с белокаменными элементами постройка, представляющая собой высокий четверик с низким восьмигранным трибуном, увенчанным высоким шатром с главкой. Пристроена к юго-восточному углу здания Сретенской духовной семинарии в 2013. В 2014 продолжалась внутренняя отделка.;Иоанна Богослова;55.765288;37.629465
1818;Собор Рождества Христова;церковь;1812;;действ.;Москва, ул. Волхонка, 15;Памятник войне 1812 г. Первоначально заложен в 1817 на Воробьевых горах (арх. А. Л. Витберг), постройка не состоялась. Заложен вновь 10 сент. 1839 г. на Пречистенской набережной (арх. К. А. Тон), на месте переведенного отсюда Алексеевского монастыря. Освящен 26 мая 1883 г. Монументальный крестообразный 5-главый храм в русско-византийском стиле. Главный иконостас в виде 8-гранной мраморной часовни. Центральный престол Рождества Христова. Приделы на хорах Николая Чудотворца (южн.) и Александра Невского (сев.). С 1883 кафедральный собор города Москвы. Закрыт в 1931. Взорван 5 дек. 1931 г. для строительства на этом месте Дворца Советов. Проект не реализован, вместо Дворца был устроен плавательный бассейн. Общественное движение за возрождение храма возникло в кон. 1980-х. Восстанавливаемый храм официально заложен 7 янв. 1995 на прежнем месте. Главный престол освящен 19 авг. 2000 г. При строительстве поставлен на новый стилобат, в котором устроены Преображенская церковь и Зал церковных соборов - место основных собраний РПЦ МП.;"Рождества Христова; Александра Невского; Николая Чудотворца";55.744573;37.605478
1848;Церковь Антипы, епископа Пергамского, что на Колымажном дворе;церковь;не позже 2-й пол. XVI в.;;действ.;Москва, Колымажный пер., 8/4, стр. 1;Древний каменный одноглавый бесстолпный кубический храм с редкой двухапсидной алтарной частью. Значительно искажен позднейшими пристройками. Южный, Никольский, придел кон. XVII в. (перестр. 1739-1741), под ним престол мц. Екатерины. Двухъярусная колокольня и северный придел Рождества Предтечи - 1798. Храм закрыт в 1929, реставрировался в 1950-е - 1970-е. Богослужения возобновлены в 2005, восстановлены все приделы, включая давно упразднённый во имя Григория Декаполита.;"Антипы, епископа Пергамского; Екатерины Великомученицы; Николая Чудотворца; Рождества Иоанна Предтечи; Григория Декаполита";55.748006;37.605311
